35692090,775909.11,256682.56
35692091,775929.58,256704.43
35692092,775949.85,256725.92
35692093,775970.53,256748.20
35692094,775991.26,256770.03
35692095,776011.18,256792.06
35692096,776031.85,256814.01
35692097,776051.67,256835.71
35692098,776072.29,256858.48
35692099,776093.15,256879.37
35692100,776112.97,256902.38
35692101,776133.99,256924.45
35692102,776156.22,256944.80
35692103,776174.81,256967.54
35692104,776195.14,256989.78
35692105,776223.76,257003.18
35692106,776278.38,256994.33
35692107,776261.07,257059.62
35692108,776277.60,257077.80
35692109,776298.25,257099.60
35692110,776318.35,257121.36
35692111,776339.13,257143.41
35692112,776358.91,257165.08
35692113,776380.13,257186.89
35692114,776400.33,257209.47
35692115,776420.98,257231.40
35692116,776441.57,257253.66
35692117,776461.55,257275.65
35692118,776482.07,257297.50
35692119,776503.25,257319.01
35692120,776522.05,257341.10
35692121,776543.58,257362.88
35692122,776564.20,257384.64
35692123,776584.59,257406.76
35692124,776607.27,257431.15
35692125,776625.36,257450.31
35692126,776645.82,257472.27
35692127,776666.40,257494.00
35692128,776686.68,257515.95
35692129,776707.02,257537.55
35692130,776727.50,257559.51
35692131,776748.12,257581.46
35692132,776768.47,257603.51
35692133,776789.04,257625.41
35692134,776809.63,257647.39
35692135,776829.89,257668.84
35692136,776849.81,257690.78
35692137,776870.88,257713.11
35692138,776891.66,257735.24
35692139,776911.88,257756.89
35692140,776932.09,257779.07
35692141,776952.46,257800.24
35692142,776973.00,257822.12
35692143,776993.51,257844.73
35692144,777014.01,257866.01
35692145,777039.22,257883.67
35692146,777059.47,257905.73
35692147,777089.49,257919.56
35692148,777104.59,257945.70
35692149,777118.60,257973.69
35692150,777136.70,257997.84
35692151,777157.01,258019.84
35692152,777177.65,258041.74
35692153,777198.08,258064.42
35692154,777218.57,258086.49
35692155,777238.94,258108.23
35692156,777259.47,258130.40
35692157,777280.23,258152.29
35692158,777300.40,258174.24
35692159,777320.85,258196.03
35692160,777341.57,258218.59
35692161,777361.69,258240.05
35692162,777382.37,258261.06
35692163,777402.41,258284.05
35692164,777422.99,258305.48
35692165,777444.02,258328.03
35692166,777463.98,258349.48
35692167,777484.55,258371.56
35692168,777504.90,258393.68
35692169,777526.06,258415.35
35692170,777545.87,258437.31
35692171,777566.31,258459.11
35692172,777587.11,258481.12
35692173,777607.46,258502.73
35692174,777627.47,258524.85
35692175,777648.31,258547.39
35692176,777668.79,258568.90
35692177,777688.63,258592.99
35692178,777710.24,258613.76
35692179,777731.09,258634.89
35692180,777750.55,258656.97
35692181,777771.07,258678.96
35692182,777791.81,258700.77
35692183,777812.70,258722.63
35692184,777832.19,258744.14
35692185,777852.84,258767.31
35692186,777873.05,258787.97
35692187,777893.85,258809.99
35692188,777914.13,258831.57
35692189,777934.70,258853.57
35692190,777955.44,258875.86
35692191,777975.99,258897.87
35692192,777996.36,258919.80
35692193,778017.16,258941.53
35692194,778037.21,258964.04
35692195,778057.80,258985.40
35692196,778078.02,259007.20
35692197,778098.72,259029.18
35692198,778119.44,259051.25
35692199,778139.96,259073.17
35692200,778160.36,259094.54
35692201,778180.31,259117.07
35692202,778201.99,259138.13
35692203,778221.69,259160.44
35692204,778242.10,259182.43
35692205,778262.44,259204.45
35692206,778271.10,259237.12
35692207,778290.82,259260.61
35692208,778323.89,259270.22
35692209,778344.63,259292.42
35692210,778364.67,259314.27
35692211,778385.73,259335.58
35692212,778406.29,259358.14
35692213,778426.38,259379.67
35692214,778446.89,259401.66
35692215,778467.93,259423.74
35692216,778487.95,259445.06
35692217,778508.33,259467.79
35692218,778528.86,259489.38
35692219,778549.34,259511.23
35692220,778570.26,259533.66
35692221,778590.35,259555.28
35692222,778610.89,259577.09
35692223,778631.20,259599.15
35692224,778652.31,259620.89
35692225,778672.20,259642.45
35692226,778692.71,259664.68
35692227,778712.95,259686.43
35692228,778733.74,259708.34
35692229,778753.17,259731.99
35692230,778773.40,259753.98
35692231,778793.98,259775.86
35692232,778814.59,259797.84
35692233,778834.93,259819.73
35692234,778855.55,259841.74
35692235,778876.05,259863.71
35692236,778896.49,259885.59
35692237,778917.40,259907.80
35692238,778937.17,259929.73
35692239,778957.97,259951.39
35692240,778978.49,259973.56
35692241,778998.84,259995.49
35692242,779019.48,260017.54
35692243,779039.83,260039.41
35692244,779056.43,260064.90
35692245,779084.42,260079.73
35692246,779119.50,260088.13
35692247,779140.40,260110.26
35692248,779142.40,260148.77
35692249,779162.47,260171.26
35692250,779182.96,260193.13
35692251,779203.53,260214.96
35692252,779232.51,260228.98
35692253,779248.26,260254.80
35692254,779264.50,260280.45
35692255,779285.05,260302.49
35692256,779305.44,260324.40
35692257,779326.05,260346.61
35692258,779346.45,260368.30
35692259,779366.94,260390.22
35692260,779387.26,260412.06
35692261,779413.88,260427.59
35692262,779447.11,260438.73
35692263,779455.97,260470.97
35692264,779469.30,260499.98
35692265,779489.62,260521.85
35692266,779510.12,260544.36
35692267,779530.52,260565.67
35692268,779551.03,260587.73
35692269,779571.26,260609.56
35692270,779591.83,260631.64
35692271,779612.63,260653.31
35692272,779633.24,260675.25
35692273,779653.58,260697.47
35692274,779674.01,260719.31
35692275,779694.53,260741.26
35692276,779714.51,260762.98
35692277,779735.30,260785.41
35692278,779755.19,260807.01
35692279,779776.40,260829.52
35692280,779796.33,260851.68
35692281,779817.14,260873.41
35692282,779837.18,260894.99
35692283,779857.84,260917.03
35692284,779878.54,260938.92
35692285,779898.84,260960.79
35692286,779919.32,260982.71
35692287,779939.78,261004.70
35692288,779962.27,261024.73
35692289,779981.11,261048.60
