35972083-1,776381.23,255954.96,188.81,1
35972087-1,776462.12,256042.99,189.64,1
36012365-1,782236.98,262059.79,224.98,1
36012366-1,782258.34,262080.98,225.59,1
36012383-1,782611.19,262451.65,234.75,1
36012384-1,782627.60,262477.66,235.88,1
36052091-1,776744.04,255945.15,189.99,1
36052364-1,782306.31,261955.77,218.74,1
36052373-1,782488.19,262154.83,226.15,1
36052374-1,782509.04,262176.46,228.17,1
36052375-1,782530.03,262199.96,231.36,1
36052376-1,782549.15,262223.51,227.40,1
36052377-1,782564.21,262249.21,228.70,1
36092362-1,782352.97,261830.86,226.89,1
36172352-1,782325.09,261446.65,219.11,1
36172357-1,782423.12,261559.44,219.08,1
36252341-1,782259.73,261056.25,214.12,1
36252346-1,782373.65,261153.20,216.58,1
36292110-1,777622.46,255905.38,190.56,1
36292340-1,782341.13,260940.69,214.42,1
36292341-1,782363.67,260964.49,212.91,1
36332045-1,776400.05,254379.50,199.26,1
36332046-1,776413.39,254407.92,198.31,1
36372147-1,778567.06,256540.86,193.77,1
36412052-1,776715.45,254369.31,201.31,1
36412053-1,776729.30,254400.09,198.24,1
36412378-1,783381.93,261525.81,228.24,1
36452055-1,776860.82,254359.66,198.98,1
36452056-1,776881.37,254381.45,198.41,1
36452057-1,776901.68,254403.38,197.92,1
36452122-1,778229.78,255830.82,191.27,1
36452123-1,778240.42,255861.32,190.73,1
36452151-1,778825.37,256466.28,192.97,1
36452315-1,782180.26,260064.29,211.17,1
36452326-1,782404.50,260304.47,211.98,1
36452375-1,783409.45,261380.41,221.03,1
36452376-1,783437.34,261396.39,228.16,1
36452377-1,783441.95,261431.40,230.71,1
36452378-1,783468.96,261445.25,225.27,1
36452379-1,783489.11,261467.52,225.62,1
36452380-1,783512.63,261488.03,231.07,1
36452381-1,783531.12,261511.30,231.28,1
36452382-1,783550.66,261537.87,235.89,1
36452389-1,783693.37,261688.68,236.61,1
36452390-1,783714.93,261710.45,233.87,1
36492380-1,783646.59,261362.39,225.64,1
36532052-1,776971.28,254133.11,205.93,1
36532077-1,777490.17,254683.88,192.32,1
36532078-1,777509.26,254696.94,199.75,1
36532079-1,777527.15,254722.99,191.61,1
36532085-1,777649.18,254854.87,190.28,1
36532129-1,778547.34,255821.90,193.71,1
36532146-1,778898.13,256192.67,193.73,1
36532148-1,778939.81,256237.68,190.02,1
36572057-1,777149.48,254172.47,206.62,1
36572079-1,777615.00,254640.87,193.52,1
36572081-1,777647.92,254693.06,189.52,1
36572127-1,778614.19,255676.77,190.50,1
36572128-1,778626.23,255707.14,190.92,1
36572136-1,778744.88,255923.83,190.87,1
36572137-1,778791.09,255921.83,192.23,1
36572153-1,779128.67,256264.06,193.45,1
36612036-1,776826.04,253612.68,224.46,1
36652059-1,777365.53,254042.19,211.96,1
36652143-1,779085.21,255896.53,191.99,1
36652393-1,784209.86,261370.01,229.73,1
36692141-1,779143.22,255759.07,193.10,1
36732109-1,778579.45,254968.44,191.18,1
36772067-1,777817.86,253960.33,203.77,1
36772068-1,777825.81,253989.86,203.12,1
36772069-1,777853.05,254002.35,204.26,1
36772070-1,777875.60,254021.63,205.58,1
36772153-1,779583.51,255838.46,192.53,1
36772399-1,784599.84,261256.23,234.12,1
36812052-1,777574.82,253571.02,219.40,1
36892069-1,778113.26,253767.88,203.77,1
36972141-1,779760.96,255181.09,191.41,1
37012071-1,778416.85,253564.62,206.27,1
37012205-1,781123.95,256536.51,199.19,1
37012206-1,781147.94,256555.90,199.67,1
37012209-1,781214.33,256617.30,199.49,1
37012210-1,781221.59,256650.11,203.12,1
37012211-1,781236.74,256677.76,205.20,1
37012212-1,781257.43,256699.28,204.09,1
37012213-1,781276.08,256721.90,204.97,1
37012214-1,781297.98,256742.87,210.75,1
37012215-1,781319.19,256765.08,207.05,1
37012216-1,781340.45,256786.11,208.54,1
37012217-1,781371.00,256800.04,209.69,1
37052006-1,777174.11,252057.48,205.69,1
37052074-1,778566.50,253549.94,203.95,1
37052129-1,779691.46,254755.01,192.91,1
37052214-1,781349.80,256696.27,208.18,1
37092005-1,777253.59,251938.91,205.36,1
37092006-1,777270.87,251966.98,203.83,1
37092009-1,777325.19,252041.99,202.82,1
37092010-1,777347.76,252061.36,215.04,1
37092011-1,777364.67,252084.78,220.11,1
37092012-1,777385.05,252106.92,207.90,1
37092016-1,777466.60,252195.43,211.42,1
37092017-1,777490.57,252216.49,203.30,1
37092018-1,777508.16,252244.65,225.60,1
37092019-1,777529.73,252262.80,219.55,1
37092147-1,780147.75,255069.48,191.60,1
37132072-1,778697.80,253342.98,209.66,1
37132073-1,778729.45,253358.59,209.92,1
37252405-1,785785.53,260393.75,218.19,1
37292357-1,784882.79,259265.97,208.03,1
37332024-1,778157.23,251878.35,218.66,1
37332028-1,778239.43,251967.14,216.60,1
37372021-1,778178.27,251737.16,221.68,1
37372032-1,778409.65,251973.28,213.15,1
37372033-1,778430.17,251994.57,212.04,1
37452169-1,781385.09,254814.62,195.14,1
37572090-1,780019.44,252854.57,202.93,1
37572105-1,780336.10,253173.83,194.77,1
37572186-1,781992.12,254959.47,198.60,1
37612076-1,779835.94,252447.60,203.89,1
37612128-1,780900.35,253588.04,193.09,1
37612182-1,781985.96,254800.12,198.44,1
37612184-1,782055.04,254806.92,201.26,1
37612185-1,782094.68,254809.84,200.97,1
37612351-1,785520.10,258426.52,209.10,1
37612357-1,785569.17,258626.77,208.58,1
