33052042,769133.98,261030.56
33052043,769154.82,261052.80
33052044,769175.90,261074.80
33052045,769196.52,261096.56
33052046,769213.52,261120.76
33052047,769236.31,261140.39
33052048,769257.51,261161.53
33052049,769275.69,261184.40
33052050,769298.91,261206.53
33052051,769318.94,261228.17
33052052,769339.11,261249.88
33052053,769359.60,261271.66
33052054,769380.34,261293.94
33052055,769401.00,261315.81
33052056,769421.14,261337.96
33052057,769441.79,261359.88
33052058,769462.42,261381.51
33052059,769482.68,261403.47
33052060,769503.26,261425.43
33052061,769523.58,261447.27
33052062,769544.11,261469.42
33052063,769564.34,261491.09
33052064,769584.48,261512.93
33052065,769605.40,261534.85
33052066,769625.75,261556.87
33052067,769647.56,261577.49
33052068,769666.36,261599.81
33052069,769686.53,261623.14
33052070,769707.61,261644.86
33052071,769728.07,261666.42
33052072,769748.25,261688.48
33052073,769769.26,261710.76
33052074,769788.99,261732.32
33052075,769809.94,261754.44
33052076,769830.65,261776.97
33052077,769850.70,261798.11
33052078,769871.02,261820.27
33052079,769891.12,261842.75
33052080,769912.07,261863.95
33052081,769932.84,261886.27
33052082,769953.47,261908.76
33052083,769973.53,261929.02
33052084,769994.21,261951.67
33052085,770013.96,261973.34
33052086,770034.33,261995.64
33052087,770054.58,262017.01
33052088,770074.86,262038.85
33052089,770095.71,262061.91
33052090,770116.96,262083.86
33052091,770136.64,262105.26
33052092,770158.22,262126.39
33052093,770177.52,262148.78
33052094,770197.94,262171.81
33052095,770218.67,262192.72
33052096,770239.19,262215.34
33052097,770259.68,262236.72
33052098,770280.65,262257.62
33052099,770299.97,262281.13
33052100,770321.69,262302.75
33052101,770341.43,262324.71
33052102,770362.14,262346.89
33052103,770382.39,262368.74
33052104,770402.90,262390.63
33052105,770423.29,262412.52
33052106,770442.77,262434.72
33052107,770464.70,262456.00
33052108,770483.51,262479.88
33052109,770504.72,262500.37
33052110,770525.65,262522.48
33052111,770546.59,262544.67
33052112,770567.95,262566.64
33052113,770586.21,262588.77
33052114,770607.71,262610.18
33052115,770628.34,262632.11
33052116,770648.30,262654.07
33052117,770669.17,262676.11
33052118,770689.53,262697.94
33052119,770710.15,262720.05
33052120,770730.63,262741.94
33052121,770751.15,262763.98
33052122,770771.37,262785.64
33052123,770792.09,262807.56
33052124,770812.49,262829.77
33052125,770832.92,262851.70
33052126,770853.40,262873.45
33052127,770874.70,262896.66
33052128,770894.38,262917.24
33091993,768219.81,259874.09
33091994,768240.73,259896.14
33091995,768260.97,259917.97
33091996,768281.67,259939.96
33091997,768301.58,259961.78
33091998,768322.26,259982.79
33091999,768342.53,260005.64
33092000,768363.44,260027.48
33092001,768383.49,260049.60
33092002,768403.69,260071.59
33092003,768424.32,260093.25
33092004,768444.78,260114.82
33092005,768466.03,260139.12
33092006,768484.35,260160.22
33092007,768506.76,260180.49
33092008,768527.00,260203.17
33092009,768546.83,260224.59
33092010,768568.36,260246.80
33092011,768589.95,260269.06
33092012,768608.71,260290.83
33092013,768629.53,260312.92
33092014,768649.68,260334.59
33092015,768670.02,260357.14
33092016,768690.19,260378.79
33092017,768711.41,260400.40
33092018,768731.80,260422.65
33092019,768753.11,260444.81
33092020,768769.69,260468.20
33092021,768792.85,260488.40
33092022,768813.45,260510.17
33092023,768833.53,260532.23
33092024,768853.94,260554.43
33092025,768874.40,260574.97
33092026,768895.76,260597.44
33092027,768915.74,260620.25
33092028,768936.44,260641.71
33092029,768956.33,260663.60
33092030,768977.01,260685.61
33092031,768996.62,260708.54
33092032,769018.13,260729.31
33092033,769039.06,260751.67
33092034,769059.67,260772.48
33092035,769079.28,260795.57
33092036,769100.53,260816.69
33092037,769120.39,260839.04
33092038,769140.78,260860.83
33092039,769159.86,260883.87
33092040,769182.07,260905.03
33092041,769201.90,260926.57
33092042,769223.11,260948.96
33092043,769243.40,260970.36
33092044,769263.96,260993.13
33092045,769284.36,261014.69
33092046,769304.74,261036.50
33092047,769325.22,261058.66
33092048,769345.42,261080.75
33092049,769366.44,261103.12
33092050,769386.13,261124.18
33092051,769406.17,261146.30
33092052,769427.63,261168.41
33092053,769449.08,261190.63
33092054,769467.96,261212.22
33092055,769487.96,261233.83
33092056,769509.11,261256.07
33092057,769529.49,261278.20
33092058,769550.26,261300.18
33092059,769571.22,261321.77
33092060,769590.80,261343.81
33092061,769611.61,261365.56
33092062,769632.01,261387.89
33092063,769652.64,261410.01
33092064,769672.85,261431.97
33092065,769693.19,261453.51
33092066,769712.84,261476.24
33092067,769734.30,261497.15
33092068,769754.45,261518.80
33092069,769775.20,261541.44
33092070,769795.87,261563.23
33092071,769816.18,261585.33
33092072,769836.16,261607.51
33092073,769856.93,261629.16
33092074,769877.21,261650.98
33092075,769898.32,261672.88
33092076,769918.57,261695.00
33092077,769938.94,261716.96
33092078,769959.42,261739.08
33092079,769979.55,261760.78
33092080,770000.43,261782.94
33092081,770020.79,261804.71
33092082,770041.29,261826.81
33092083,770061.69,261849.17
33092084,770082.15,261870.58
33092085,770102.62,261892.60
33092086,770122.74,261915.14
33092087,770143.33,261936.36
33092088,770163.66,261958.44
33092089,770184.33,261979.85
33092090,770204.35,262002.08
33092091,770224.30,262023.96
33092092,770246.42,262045.17
33092093,770266.06,262067.64
33092094,770286.61,262089.48
33092095,770306.93,262111.26
33092096,770327.82,262133.26
33092097,770347.65,262155.47
33092098,770368.10,262176.97
33092099,770389.54,262199.23
33092100,770409.34,262221.35
33092101,770429.74,262243.58
33092102,770450.37,262265.11
